primaryId	primaryNetwork	name	symbol	algorand	binance	bitcoin	ethereum	near	polygon	solana	tezos
93947516-5127-4dca-b56c-c876665f4a66	ethereum	Aave interest bearing USDT	AUSDT				93947516-5127-4dca-b56c-c876665f4a66				
33133c2d-6a39-4491-bdcc-98aabae4e219	ethereum	Republic Token	REN				33133c2d-6a39-4491-bdcc-98aabae4e219				
0b1ffcda-f24b-4cf7-8ad0-0a545740e6ed	ethereum	Qredo	QRDO				0b1ffcda-f24b-4cf7-8ad0-0a545740e6ed				
33b55fc3-b0b9-4240-a87c-d5df6b1187bd	ethereum	Civic	CVC				33b55fc3-b0b9-4240-a87c-d5df6b1187bd				
6e3171ba-7382-4fb4-bfbc-d8f319ef2956	ethereum	Orchid	OXT				6e3171ba-7382-4fb4-bfbc-d8f319ef2956				
2217af69-c462-4327-b4b1-d1c8984c06b8	ethereum	PaxosGold	PAXG				2217af69-c462-4327-b4b1-d1c8984c06b8				
4a315f8c-c484-4f0a-9626-284b2d9e7147	ethereum	Quant	QNT				4a315f8c-c484-4f0a-9626-284b2d9e7147				
2b989be4-365e-44b3-9ea2-2516bbfd35bc	ethereum	Wrapped Filecoin	EFIL				2b989be4-365e-44b3-9ea2-2516bbfd35bc				
95d26141-2bc3-4cf4-bdb1-c5c220c01ea4	ethereum	TrueFi	TRU				95d26141-2bc3-4cf4-bdb1-c5c220c01ea4				
aac6e95d-d860-405c-8685-ff88ca49e4e7	ethereum	ApeCoin	APE				aac6e95d-d860-405c-8685-ff88ca49e4e7				
614d6876-cebc-4f62-bb90-451950ac1c58	ethereum	Staked Aave	STKAAVE				614d6876-cebc-4f62-bb90-451950ac1c58				
5e72eea1-b4e4-48d4-919f-c15c39fd2f4f	ethereum	Fantom	FTM				5e72eea1-b4e4-48d4-919f-c15c39fd2f4f				
de72a88d-3631-4069-90ff-a597fb4ad311	ethereum	Binance USD	BUSD				de72a88d-3631-4069-90ff-a597fb4ad311				
f44e5724-236e-4635-95c4-a5bfaa51f77a	ethereum	ChainLink Token	LINK				f44e5724-236e-4635-95c4-a5bfaa51f77a				
eaaba758-0c3f-4159-83e1-fe200e12efcb	ethereum	Revv	REVV				eaaba758-0c3f-4159-83e1-fe200e12efcb				
ba45f6cf-49a0-48ea-a017-702825d22f3c	ethereum	Synth sUSD	SUSD				ba45f6cf-49a0-48ea-a017-702825d22f3c				
51031576-2cd5-43d5-be35-86ea248c7d82	ethereum	Livepeer	LPT				51031576-2cd5-43d5-be35-86ea248c7d82				
781f12f9-6a7d-4fed-b77d-457505e8cc7c	ethereum	Lido DAO	LDO				781f12f9-6a7d-4fed-b77d-457505e8cc7c				
27009f60-efd2-45eb-ba99-e1e4a0b9c491	ethereum	Liquity USD	LUSD				27009f60-efd2-45eb-ba99-e1e4a0b9c491				
47cbcdf0-df5b-4fc9-8c2a-0c583f6be83b	ethereum	Ribbon Finance	RBN				47cbcdf0-df5b-4fc9-8c2a-0c583f6be83b				
1a66b54f-b8b6-4cca-9790-6dda1c20da3a	ethereum	Aave Interest bearing UniETH	AUNIETH				1a66b54f-b8b6-4cca-9790-6dda1c20da3a				
08187091-4336-41e0-ad0b-c8b4b8de5c42	ethereum	Aave Interest bearing SUSD	ASUSD				08187091-4336-41e0-ad0b-c8b4b8de5c42				
f8b8a193-e401-43a1-8cc6-6504c414045f	ethereum	Aave Interest bearing REN	AREN				f8b8a193-e401-43a1-8cc6-6504c414045f				
f5806ed0-fab8-4205-9c6e-e3cfe23736e6	ethereum	Mask Network	MASK				f5806ed0-fab8-4205-9c6e-e3cfe23736e6				
ca026bd7-30d8-4eeb-bb6c-0fa94226ddd0	ethereum	Alethea Artificial Liquid Intelligence	ALI				ca026bd7-30d8-4eeb-bb6c-0fa94226ddd0				
fd5dbefc-40c3-49eb-a87f-c109f697f5a1	ethereum	Dai Stablecoin	DAI				fd5dbefc-40c3-49eb-a87f-c109f697f5a1				
0d3e35f7-ee53-47f6-a01b-172ec60d4a24	ethereum	Sushiswap	SUSHI				0d3e35f7-ee53-47f6-a01b-172ec60d4a24				
d6eb2ed4-39c7-4da1-831b-c4c0b9cbcef7	ethereum	Liquity	LQTY				d6eb2ed4-39c7-4da1-831b-c4c0b9cbcef7				
4bc9ad40-b95e-4a4e-aa0c-c8e298453bd9	ethereum	Aave Interest bearing Binance USD	ABUSD				4bc9ad40-b95e-4a4e-aa0c-c8e298453bd9				
80dc43e8-7689-4be9-87e7-6677f04e22a1	ethereum	Aave Interest bearing ZRX	AZRX				80dc43e8-7689-4be9-87e7-6677f04e22a1				
5bc0cd6a-e961-4283-b86e-1c5d09387a15	ethereum	Aave Interest bearing MANA	AMANA				5bc0cd6a-e961-4283-b86e-1c5d09387a15				
3db42392-2037-4946-8047-85cafe7befdf	ethereum	Aave Interest bearing REP	AREP				3db42392-2037-4946-8047-85cafe7befdf				
288d16d0-2ad0-4b9b-969e-74d3817abb0a	ethereum	Aave Interest bearing ENJ	AENJ				288d16d0-2ad0-4b9b-969e-74d3817abb0a				
cfca18a1-8e4b-46d3-8846-317ac9716669	ethereum	Dogelon Mars	ELON				cfca18a1-8e4b-46d3-8846-317ac9716669				
287bd359-17a3-4bba-9e20-a1569f955452	polygon	Polygon	MATIC						d6bffe69-071d-4fa8-9038-d90fac19bf77		
4535d257-20df-44c1-9649-878fd35f93f5	ethereum	Aave Interest bearing LEND	ALEND				4535d257-20df-44c1-9649-878fd35f93f5				
34f58c8d-c8ac-4c3d-8fdd-c632b2eb828c	ethereum	Aave Interest bearing MKR	AMKR				34f58c8d-c8ac-4c3d-8fdd-c632b2eb828c				
92fd7bc9-c7d6-41e1-98fa-bcba48877c3e	ethereum	Aave Token	AAVE				92fd7bc9-c7d6-41e1-98fa-bcba48877c3e				
cfc11534-b574-468b-b1f6-4b2255abaf41	ethereum	Lend	LEND				cfc11534-b574-468b-b1f6-4b2255abaf41				
13b1d0c5-4acf-4497-9de6-1dc7e302b250	ethereum	Ankr Network	ANKR				13b1d0c5-4acf-4497-9de6-1dc7e302b250				
fe4adcf2-25f4-4ff0-ac86-f74a67793d6d	ethereum	Aave Interest bearing UniSETHETH	AUNISETHETH				fe4adcf2-25f4-4ff0-ac86-f74a67793d6d				
7c744926-84c8-4e85-b578-1299f611685a	ethereum	Aave Interest bearing UniMKRETH	AUNIMKRETH				7c744926-84c8-4e85-b578-1299f611685a				
9de54dd1-7846-439f-87a0-1f0659ffb2db	ethereum	Merit Circle	MC				9de54dd1-7846-439f-87a0-1f0659ffb2db				
7314ddb2-4615-4829-80e0-7c4de82ce556	ethereum	Aave Interest bearing UniLINKETH	AUNILINKETH				7314ddb2-4615-4829-80e0-7c4de82ce556				
e7651c75-1a14-431a-be16-9123c5f6a9e6	ethereum	Shiba Inu	SHIB				e7651c75-1a14-431a-be16-9123c5f6a9e6				
d5a386be-59db-492f-b330-9156ccdd06f3	ethereum	Uniswap USDC LP	UNIUSDCETH				d5a386be-59db-492f-b330-9156ccdd06f3				
13b786d1-7dbe-4c37-83c6-6c5b6bf210ca	ethereum	Magic Internet Money	MIM				13b786d1-7dbe-4c37-83c6-6c5b6bf210ca				
e6e840ce-677f-43ee-9ca2-7b4b9f68b785	ethereum	Aave Interest bearing USDC	AUSDC				e6e840ce-677f-43ee-9ca2-7b4b9f68b785				
9e659fce-95c3-458d-aea5-3641d3ba2c9b	ethereum	Metis	METIS				9e659fce-95c3-458d-aea5-3641d3ba2c9b				
